ACTIVE_GOAL -> ACTIVE_GOAL | id=GUI_WIN_ACTIVE_GOAL | GUI_WIN_TYPE_POPUP | 命令=:ENTER_PAGE:ACTIVE_GOAL,1 | 参数1=window_name:ACTIVE_GOAL（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=特殊页面模式，由页面源码的 switch(param) 解释 | 合法值=1=ACTIVE_GOAL_TYPE_STEPS, 2=ACTIVE_GOAL_TYPE_CALORIE, 3=ACTIVE_GOAL_TYPE_TIME | 完整示例=:ENTER_PAGE:ACTIVE_GOAL,1
AI_CHAT_MAIN -> AI_CHAT_MAIN | id=GUI_WIN_AI_CHAT_MAIN | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:AI_CHAT_MAIN,<uint32_param> | 参数1=window_name:AI_CHAT_MAIN（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
AI_CHAT_QA -> AI_CHAT_QA | id=GUI_WIN_AI_CHAT_QA | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:AI_CHAT_QA,<uint32_param> | 参数1=window_name:AI_CHAT_QA（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
AI_CHAT_RECORD_DETAIL -> AI_CHAT_RECORD_DETAIL | id=GUI_WIN_AI_CHAT_RECORD_DETAIL | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:AI_CHAT_RECORD_DETAIL,<uint32_param> | 参数1=window_name:AI_CHAT_RECORD_DETAIL（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
AI_CHAT_RECORD_LIST -> AI_CHAT_RECORD_LIST | id=GUI_WIN_AI_CHAT_RECORD_LIST | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:AI_CHAT_RECORD_LIST,<uint32_param> | 参数1=window_name:AI_CHAT_RECORD_LIST（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
AI_CHAT_TEXT -> AI_CHAT_TEXT | id=GUI_WIN_AI_CHAT_TEXT | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:AI_CHAT_TEXT,<uint32_param> | 参数1=window_name:AI_CHAT_TEXT（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
AI_WATCHFACE_MAIN -> AI_WATCHFACE_MAIN | id=GUI_WIN_AI_WATCHFACE_MAIN | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:AI_WATCHFACE_MAIN,<uint32_param> | 参数1=window_name:AI_WATCHFACE_MAIN（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
AI_WATCHFACE_TEXT -> AI_WATCHFACE_TEXT | id=GUI_WIN_AI_WATCHFACE_TEXT | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:AI_WATCHFACE_TEXT,<uint32_param> | 参数1=window_name:AI_WATCHFACE_TEXT（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
AI_WATCHFACE_WAIT_REPLY -> AI_WATCHFACE_WAIT_REPLY | id=GUI_WIN_AI_WATCHFACE_WAIT_REPLY | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:AI_WATCHFACE_WAIT_REPLY,<uint32_param> | 参数1=window_name:AI_WATCHFACE_WAIT_REPLY（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
ALARM_CLOCK -> ALARM_CLOCK | id=GUI_WIN_ALARM_CLOCK | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:ALARM_CLOCK,<uint32_param> | 参数1=window_name:ALARM_CLOCK（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
ALARM_CLOCK_ADD -> ALARM_CLOCK_ADD | id=GUI_WIN_ALARM_CLOCK_ADD | GUI_WIN_TYPE_NORMAL | 语法=:ENTER_PAGE:ALARM_CLOCK_ADD,<uint32_param> | 参数1=window_name:ALARM_CLOCK_ADD（注册页面名，必填） | 参数2=param（uint32，必填） | param含义=页面特定启动用户数据；当前源码目录尚未解析其业务含义 | 合法值=未知，禁止猜测 | 完整示例=无
